UNITID,EFTOTLT,EFTOTLM,EFTOTLW
100937,7,2,5
100937,14,9,5
101028,1837,680,1157
101028,1837,680,1157
101028,1769,653,1116
101028,421,185,236
101028,1348,468,880
101028,68,27,41
101028,328,118,210
101028,1020,350,670
101028,1053,419,634
101028,1053,419,634
101028,1051,418,633
101028,333,141,192
101028,718,277,441
101028,2,1,1
101028,167,75,92
101028,551,202,349
101028,784,261,523
101028,784,261,523
101028,718,235,483
101028,88,44,44
101028,630,191,439
101028,66,26,40
101028,161,43,118
101028,469,148,321
101073,600,349,251
101073,600,349,251
101073,523,305,218
101073,149,105,44
101073,374,200,174
101073,77,44,33
101073,42,39,3
101073,332,161,171
101073,543,338,205
101073,543,338,205
101073,490,299,191
101073,147,105,42
101073,343,194,149
101073,53,39,14
101073,39,39,0
101073,304,155,149
101073,57,11,46
101073,57,11,46
101073,33,6,27
101073,2,0,2
101073,31,6,25
101073,24,5,19
101073,3,0,3
101073,28,6,22
101116,682,177,505
101116,599,160,439
101116,599,160,439
101116,43,11,32
101116,556,149,407
101116,83,17,66
101116,144,42,102
101116,412,107,305
101116,313,92,221
101116,311,92,219
101116,311,92,219
101116,27,7,20
101116,284,85,199
101116,2,0,2
101116,63,20,43
101116,221,65,156
101116,369,85,284
101116,288,68,220
101116,288,68,220
101116,16,4,12
101116,272,64,208
101116,81,17,64
101116,81,22,59
101116,191,42,149
101143,2333,1336,997
101143,2333,1336,997
101143,1984,1111,873
101143,414,234,180
101143,1570,877,693
101143,349,225,124
101143,329,172,157
101143,1241,705,536
101143,1318,771,547
101143,1318,771,547
111434,1403,589,814
111434,846,331,515
111434,3688,1253,2435
111434,1202,508,694
111434,1202,508,694
111434,1147,486,661
111434,279,134,145
111434,868,352,516
111434,55,22,33
111434,89,39,50
111434,779,313,466
111434,5418,1961,3457
111434,5418,1961,3457
111434,4070,1394,2676
111434,404,162,242
111434,3666,1232,2434
111434,1348,567,781
111434,757,292,465
111434,2909,940,1969
111461,18508,9658,8850
111461,18508,9658,8850
111461,16784,8735,8049
111461,3092,1605,1487
111461,13692,7130,6562
111461,1724,923,801
111461,1388,695,693
111461,12304,6435,5869
111461,6446,3332,3114
111461,6446,3332,3114
111461,6329,3266,3063
111461,1611,825,786
111461,4718,2441,2277
111461,117,66,51
111461,448,229,219
111461,4270,2212,2058
111461,12062,6326,5736
111461,12062,6326,5736
111461,10455,5469,4986
111461,1481,780,701
111461,8974,4689,4285
111461,1607,857,750
111461,940,466,474
111461,8034,4223,3811
111513,167,4,163
111513,167,4,163
111513,167,4,163
111513,79,1,78
111513,88,3,85
111513,88,3,85
111513,74,2,72
111513,74,2,72
111513,74,2,72
111513,44,1,43
111513,30,1,29
111513,30,1,29
111513,93,2,91
111513,93,2,91
111513,93,2,91
111513,35,0,35
111513,58,2,56
111513,58,2,56
111638,606,128,478
111638,606,128,478
111638,606,128,478
111638,46,7,39
111638,560,121,439
